Track,Artist,Album,Release_Year,Duration,Time_Signature,Danceability,Energy,Track_Key,Loudness,Song_Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Popularity_Category,Energy_Range,Danceability_Range,Loudness_Range,Liveness_Range
Bang Dem Sticks,Meghan Trainor,Title (Deluxe),2016,180973,4,1.0,1.0,2,-4.0,1,0.0,0.0,0.0,0.0,0.0,110.0,41,Low,High,High,High,Low
Bartier Cardi (feat. 21 Savage),Cardi B,Invasion of Privacy,2017,224284,4,1.0,1.0,1,-8.0,1,0.0,0.0,0.0,0.0,0.0,138.0,60,Medium,High,High,High,Low
Be Careful,Cardi B,Invasion of Privacy,2018,210787,4,1.0,1.0,6,-8.0,0,0.0,0.0,0.0,0.0,1.0,152.0,67,Medium,High,High,High,Low
Be the One,Dua Lipa,Be the One,2017,202914,4,1.0,1.0,7,-4.0,0,0.0,0.0,0.0,0.0,0.0,87.0,67,Medium,High,High,High,Low
Beautiful Crazy,Luke Combs,This One's for You Too (Deluxe Edition),2017,193200,4,1.0,0.0,11,-7.0,1,0.0,1.0,0.0,0.0,0.0,103.0,83,High,Low,High,High,Low
Beautiful Interlude,Coco Jones,SuperSoulSista (Limited Edition),2023,37306,4,1.0,0.0,4,-13.0,1,1.0,0.0,0.0,0.0,0.0,89.0,0,Low,Low,High,Medium,Low
Bebe Dame,Fuerza Regida,Bebe Dame,2022,271861,4,1.0,1.0,7,-5.0,1,0.0,0.0,0.0,0.0,1.0,157.0,71,Medium,High,High,High,Low
Because of You,Kelly Clarkson,Breakaway,2004,219493,4,1.0,1.0,5,-5.0,0,0.0,0.0,0.0,0.0,0.0,140.0,65,Medium,High,High,High,Low
Beer Never Broke My Heart,Luke Combs,What You See Is What You Get,2019,186733,4,1.0,1.0,1,-4.0,1,0.0,0.0,0.0,0.0,1.0,77.0,81,High,High,High,High,Low
Beez In The Trap,Nicki Minaj,Pink Friday ... Roman Reloaded,2012,268480,4,1.0,1.0,9,-6.0,1,0.0,0.0,0.0,0.0,1.0,150.0,52,Medium,High,High,High,Low
